,Store,Product Name,Price,promo Price,Brand Name,Product URL,Product Picture URL
0,PB Technologies Ltd,Lenovo Think Center M910Q Intel Core i5 6400T Tiny PC (A-Grade Refurbished)    ,249,0,8GB RAM - 256GB SSD - Win 10 Pro (Upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN90015__1.jpg?h=4235909754
1,PB Technologies Ltd,Lenovo ThinkCentre M710q Intel Core i5 6400T Tiny Desktop PC (A-Grade Refurbished)    ,384,0,8GB RAM - 256GB SSD - Win10 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN70110__1.jpg?h=1654349478
2,PB Technologies Ltd,HP Z2 G4 Intel Xeon E-2136 SFF Workstation (A-Grade Refurbished)    ,"1,092",0,32GB RAM - 1TB SSD - Win11 Pro - Nvidia QUADRO P1000 Graphics - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP20251__1.jpg?h=3190180983
3,PB Technologies Ltd,Lenovo Think Centre M720q Intel Core i5-8400T Tiny Desktop PC (A-Grade Refurbished)    ,599,0,8GB RAM - 256GB NVME SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN07203__1.jpg?h=1228086298
4,PB Technologies Ltd,HP ProDesk 400 G4 Intel i3 7100 SFF Desktop PC (A Grade Refurbished)    ,349,$331.56,8GB RAM - 256GB SSD - Win10 Pro 64bit - Recondition by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP4005__3.jpg?h=401443525
5,PB Technologies Ltd,Lenovo ThinkCentre M900 Intel Core i5-6600T Tiny Desktop PC (A Grade Refurbished)    ,599,$569.05,8GB RAM - 256GB SSD - On-board WiFi - Win10 Pro (Upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN90012__1.jpg?h=1152060847
6,PB Technologies Ltd,Dell Optiplex 7070 Intel Core i5-9600 SFF Desktop PC (A-Grade Refurbished)    ,690,0,8GB DDR4 RAM - 256GB SSD - Win11 Home 64bit - Reconditioned by PBTech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70732__1.jpg?h=3873304390
7,PB Technologies Ltd,Dell Optiplex 7070  Micro PC (A-Grade Refurbished)    ,549,0,Intel Core i5-9500T - 16GB RAM - 256GB SSD - Win11 Pro 64bit - Includes Power Cord & Power Adapter - Reconditioned  by PBTech - 1 Years Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70702__1.jpg?h=3601697466
8,PB Technologies Ltd,HP Z2 G5 Intel Core i7-10700K Tower Desktop PC (A-Grade Refurbished)    ,"1,598","$1,519.05",64GB RAM - 1TB SSD - NVIDIA Geforce RTX 2060 SUPER - Win11 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP2028__1.jpg?h=2400944753
9,PB Technologies Ltd,HP Elitedesk 800 G4 Intel Core i5 8500 Tower Desktop PC (A-Grade Refurbished)    ,690,0,16GB RAM - 256GB SDD - Win11 Home (Upgraded) - Recondition by PB Tech - 1 Year PB Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP80040204__1.jpg?h=3915346097
